dateTime,date,parameter,location,value,unit,city,attribution,hour,Latitude,Longitude
2020-04-17 04:00:00,2020-04-17,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",04:00,37.7658,-122.3978
2020-04-17 05:00:00,2020-04-17,pm25,San Francisco,3.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",05:00,37.7658,-122.3978
2020-04-17 06:00:00,2020-04-17,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",06:00,37.7658,-122.3978
2020-04-17 07:00:00,2020-04-17,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",07:00,37.7658,-122.3978
2020-04-17 08:00:00,2020-04-17,pm25,San Francisco,8.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",08:00,37.7658,-122.3978
2020-04-17 09:00:00,2020-04-17,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",09:00,37.7658,-122.3978
2020-04-17 10:00:00,2020-04-17,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",10:00,37.7658,-122.3978
2020-04-17 11:00:00,2020-04-17,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",11:00,37.7658,-122.3978
2020-04-17 12:00:00,2020-04-17,pm25,San Francisco,11.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",12:00,37.7658,-122.3978
2020-04-17 13:00:00,2020-04-17,pm25,San Francisco,10.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",13:00,37.7658,-122.3978
2020-04-17 14:00:00,2020-04-17,pm25,San Francisco,10.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",14:00,37.7658,-122.3978
2020-04-17 15:00:00,2020-04-17,pm25,San Francisco,9.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",15:00,37.7658,-122.3978
2020-04-17 16:00:00,2020-04-17,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",16:00,37.7658,-122.3978
2020-04-17 17:00:00,2020-04-17,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",17:00,37.7658,-122.3978
2020-04-17 18:00:00,2020-04-17,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",18:00,37.7658,-122.3978
2020-04-17 19:00:00,2020-04-17,pm25,San Francisco,12.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",19:00,37.7658,-122.3978
2020-04-17 20:00:00,2020-04-17,pm25,San Francisco,11.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",20:00,37.7658,-122.3978
2020-04-17 21:00:00,2020-04-17,pm25,San Francisco,9.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",21:00,37.7658,-122.3978
2020-04-17 22:00:00,2020-04-17,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",22:00,37.7658,-122.3978
2020-04-17 23:00:00,2020-04-17,pm25,San Francisco,8.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",23:00,37.7658,-122.3978
2020-04-18 00:00:00,2020-04-18,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",00:00,37.7658,-122.3978
2020-04-18 03:00:00,2020-04-18,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",03:00,37.7658,-122.3978
2020-04-18 04:00:00,2020-04-18,pm25,San Francisco,8.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",04:00,37.7658,-122.3978
2020-04-18 05:00:00,2020-04-18,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",05:00,37.7658,-122.3978
2020-04-18 06:00:00,2020-04-18,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",06:00,37.7658,-122.3978
2020-04-18 07:00:00,2020-04-18,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",07:00,37.7658,-122.3978
2020-04-18 08:00:00,2020-04-18,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",08:00,37.7658,-122.3978
2020-04-18 09:00:00,2020-04-18,pm25,San Francisco,8.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",09:00,37.7658,-122.3978
2020-04-18 10:00:00,2020-04-18,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",10:00,37.7658,-122.3978
2020-04-18 11:00:00,2020-04-18,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",11:00,37.7658,-122.3978
2020-04-18 12:00:00,2020-04-18,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",12:00,37.7658,-122.3978
2020-04-18 13:00:00,2020-04-18,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",13:00,37.7658,-122.3978
2020-04-18 14:00:00,2020-04-18,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",14:00,37.7658,-122.3978
2020-04-18 15:00:00,2020-04-18,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",15:00,37.7658,-122.3978
2020-04-18 16:00:00,2020-04-18,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",16:00,37.7658,-122.3978
2020-04-18 17:00:00,2020-04-18,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",17:00,37.7658,-122.3978
2020-04-18 18:00:00,2020-04-18,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",18:00,37.7658,-122.3978
2020-04-18 19:00:00,2020-04-18,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",19:00,37.7658,-122.3978
2020-04-18 20:00:00,2020-04-18,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",20:00,37.7658,-122.3978
2020-04-18 21:00:00,2020-04-18,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",21:00,37.7658,-122.3978
2020-04-18 22:00:00,2020-04-18,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",22:00,37.7658,-122.3978
2020-04-18 23:00:00,2020-04-18,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",23:00,37.7658,-122.3978
2020-04-19 00:00:00,2020-04-19,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",00:00,37.7658,-122.3978
2020-04-19 04:00:00,2020-04-19,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",04:00,37.7658,-122.3978
2020-04-19 05:00:00,2020-04-19,pm25,San Francisco,4.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",05:00,37.7658,-122.3978
2020-04-19 06:00:00,2020-04-19,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",06:00,37.7658,-122.3978
2020-04-19 07:00:00,2020-04-19,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",07:00,37.7658,-122.3978
2020-04-19 08:00:00,2020-04-19,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",08:00,37.7658,-122.3978
2020-04-19 09:00:00,2020-04-19,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",09:00,37.7658,-122.3978
2020-04-19 10:00:00,2020-04-19,pm25,San Francisco,8.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",10:00,37.7658,-122.3978
2020-04-19 11:00:00,2020-04-19,pm25,San Francisco,7.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",11:00,37.7658,-122.3978
2020-04-19 12:00:00,2020-04-19,pm25,San Francisco,3.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",12:00,37.7658,-122.3978
2020-04-19 13:00:00,2020-04-19,pm25,San Francisco,3.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",13:00,37.7658,-122.3978
2020-04-19 14:00:00,2020-04-19,pm25,San Francisco,5.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",14:00,37.7658,-122.3978
2020-04-19 15:00:00,2020-04-19,pm25,San Francisco,8.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",15:00,37.7658,-122.3978
2020-04-19 16:00:00,2020-04-19,pm25,San Francisco,6.0,µg/m³,San Francisco-Oakland-Fremont,"US EPA AirNow, San Francisco Bay Area AQMD, http://www.airnow.gov/",16:00,37.7658,-122.3978
