,Latitude,Longitude,location,location_type,day_count,measurement_count,Humidity_%,PM2.5_ATM_ug/m3,Temperature_F,UptimeMinutes,PM10.0_CF1_ug/m3,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3
40,37.723212,-122.399237,SFAQ_Bayview_Wedge ,outside ,3505,3503,52.2644504710248,7.83536397373678,61.592052526406,29127.4630973451,10.2058378532686,4.22188980873538,8.05376248929489
41,37.745022,-122.430455,Upper Noe Outside ,outside ,3503,3503,51.9299400513845,5.69351127604909,63.3344390522407,15109.033736797,7.40259206394519,3.08449329146447,5.76648301455894
42,37.745421,-122.424588,Dolores and 28th ,outside ,3505,3503,50.791832714816,6.48782186697118,60.7097916071937,29329.9250785041,8.04097345132742,3.59756208963746,6.60624322009706
43,37.754071,-122.411868,The Mission_ Clean Air is Hip ,outside ,3505,3503,91.2263374250641,5.33335141307451,61.8279531829858,7391.51247787611,5.83469597487869,3.54583214387671,5.38653439908649
44,37.759568,-122.404022,Potrero Hill ,outside ,3505,3503,51.8189009420497,6.62216385954896,61.6452726234656,10329.3537282329,7.85926634313444,3.80379103625464,6.84517841849843
45,37.765604,-122.441907,Buena Vista ,outside ,3505,3503,56.9334027976021,5.40835569511847,59.8248358549812,21338.1175934913,7.27715672280904,2.87201541535828,5.49458749643163
46,37.773831,-122.442804,Lyon St Outside ,outside ,3505,3503,51.548855266914,6.12673708250074,63.8499486154724,28978.4422751927,7.70250927776192,3.77014844419071,6.2519126463032
47,37.774009,122.415481,Western SoMa ,Outside ,3503,3503,51.5812246645733,6.65001998287184,62.292043962318,20785.0900142735,7.92469882957466,4.07160433913788,6.76751641450187
48,37.774009,122.415481,Western SoMa ,Outside B ,3503,3503,51.5812246645733,6.65001998287184,62.292043962318,20785.0900142735,7.92469882957466,4.07160433913788,6.76751641450187
49,37.734378,-122.444018,Miraloma _ Glen Park ,outside ,3505,3504,60.2259674657538,5.44131278538812,58.6135102739726,27529.021152968,6.2945091324201,3.70564783105024,5.51735445205479
